data,hora,taxa
2026/02/03,15:27:42,15.078765881393803
2026/02/03,15:41:24,14.876314328981888
2026/02/03,15:41:25,14.886168416853648
2026/02/03,15:41:26,14.86817423589975
2026/02/03,15:41:27,14.949326300033107
2026/02/03,15:41:28,15.135808796404604
2026/02/03,15:41:29,14.971019836546533
2026/02/03,15:41:30,14.703306816918504
2026/02/03,15:41:31,14.868030942410929
2026/02/03,15:41:32,15.126773761783927
2026/02/03,15:41:33,14.4128519739734
2026/02/09,16:03:30,14.991504819853567
2026/02/09,16:04:04,14.417345145994146
2026/02/09,16:04:27,15.150189144462363
2026/02/09,16:04:28,15.265068527175377
2026/02/09,16:04:29,15.302630246878739
2026/02/09,16:04:30,14.726870303557895
2026/02/09,16:04:31,15.141613017121598
2026/02/09,16:04:32,14.877952480899639
2026/02/09,16:04:33,15.042313131257657
2026/02/09,16:04:34,15.340777999957199
2026/02/09,16:04:35,14.467423607440521
2026/02/09,16:04:36,15.027294200332518
